run,DMC_Method,Nmcmc_1e4,band_max,band_min,calc_mode,maxOrder,n_meas,prefix,sign_im,sign_re,temper_first_line
research/mainline/CLOSURE/2026-09-14/runs/night1/C2_fixture/runs/on,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9253333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C2_tonight/runs/a1_force,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C2_tonight/runs/off,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9813333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C2_tonight/runs/on,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9306666666666666,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C2_tonight/runs/shadow,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9813333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s0,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.8826666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s1,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.888,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s2,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s3,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9786666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s4,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9866666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s5,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9466666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s6,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9093333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C3/runs/s7,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.928,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5/runs/on_0,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9946666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5/runs/on_1,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.9973333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/B0_r0,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9232,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/B0_r1,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9701333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C5_dev/runs/B0_r2,0,200,1,1,diagmc-EZ,500,15000,lif-sp3,0.0,0.9597333333333333,1 T
