case,r1_result,naive_generated_result,dag_result,max_error_including_Op,status
HS_n3_b1/RESERVED_CONFIRMATION/longer_legal_intervals,(0.00011587505587361637+0j),(0.00011587505587361639+0j),(0.00011587505587361639+0j),1.3552527156068805e-20,PASS
HS_n3_b1/RESERVED_CONFIRMATION/same_input_repeat,(0.00045077952604025346+0j),(0.00045077952604025346+0j),(0.00045077952604025346+0j),0.0,PASS
HS_n4_b1/DEV/base,(0.00021651527667647456+0j),(0.00021651527667647467+0j),(0.00021651527667647467+0j),1.0842021724855044e-19,PASS
HS_n4_b1/DEV/change_k,(2.794917219622752e-05+0j),(2.794917219622755e-05+0j),(2.794917219622755e-05+0j),3.049318610115481e-20,PASS
HS_n4_b1/DEV/change_q,(1.0379292697115855e-05+0j),(1.0379292697115851e-05+0j),(1.0379292697115851e-05+0j),3.3881317890172014e-21,PASS
HS_n4_b1/DEV/change_tau,(0.000260461351847876+0j),(0.00026046135184787595+0j),(0.00026046135184787595+0j),5.421010862427522e-20,PASS
HS_n4_b1/DEV/change_t,(0.00021651527667647456+0j),(0.00021651527667647467+0j),(0.00021651527667647467+0j),1.0842021724855044e-19,PASS
HS_n4_b1/DEV/change_omega,(0.0001640949530366817+0j),(0.0001640949530366817+0j),(0.0001640949530366817+0j),0.0,PASS
HS_n4_b1/DEV/change_g,(0.021602714697127573+0j),(0.02160271469712758+0j),(0.02160271469712758+0j),6.938893903907228e-18,PASS
HS_n4_b1/DEV/g_zero,0j,0j,0j,0.0,PASS
HS_n4_b1/DEV/joint_parameters,(0.005253098537704679+0j),(0.005253098537704677+0j),(0.005253098537704677+0j),1.734723475976807e-18,PASS
HS_n4_b1/DEV/joint_sample,(6.967620862746169e-05+0j),(6.967620862746168e-05+0j),(6.967620862746168e-05+0j),1.3552527156068805e-20,PASS
HS_n4_b1/DEV/repeat_q_then_separate,(0.00021651527667647456+0j),(0.00021651527667647467+0j),(0.00021651527667647467+0j),1.0842021724855044e-19,PASS
HS_n4_b1/DEV/repeat_dtau_then_separate,(0.0001478402037310931+0j),(0.00014784020373109316+0j),(0.00014784020373109316+0j),5.421010862427522e-20,PASS
HS_n4_b1/DEV/change_L_analytic,(1.3532204792279652e-05+0j),(1.3532204792279658e-05+0j),(1.3532204792279658e-05+0j),6.776263578034403e-21,PASS
HS_n4_b1/DEV/small_nonzero_g,(1.2876221357063987e-65+0j),(1.2876221357063993e-65+0j),(1.2876221357063993e-65+0j),6.325318765938314e-81,PASS
HS_n4_b1/DEV/longer_legal_intervals,(0.00012174287288891341+0j),(0.00012174287288891335+0j),(0.00012174287288891335+0j),6.776263578034403e-20,PASS
HS_n4_b1/DEV/same_input_repeat,(0.00021651527667647456+0j),(0.00021651527667647467+0j),(0.00021651527667647467+0j),1.0842021724855044e-19,PASS
HS_n4_b1/RESERVED_CONFIRMATION/base,(8.451081949449138e-05+0j),(8.451081949449134e-05+0j),(8.451081949449134e-05+0j),4.0657581468206416e-20,PASS
HS_n4_b1/RESERVED_CONFIRMATION/change_k,(4.554108259169525e-05+0j),(4.5541082591695225e-05+0j),(4.5541082591695225e-05+0j),2.710505431213761e-20,PASS
HS_n4_b1/RESERVED_CONFIRMATION/change_q,(5.2063640036585545e-05+0j),(5.2063640036585545e-05+0j),(5.2063640036585545e-05+0j),0.0,PASS
HS_n4_b1/RESERVED_CONFIRMATION/change_tau,(0.00010608142566191856+0j),(0.00010608142566191854+0j),(0.00010608142566191854+0j),1.3552527156068805e-20,PASS
HS_n4_b1/RESERVED_CONFIRMATION/change_t,(5.354776103665948e-05+0j),(5.354776103665948e-05+0j),(5.354776103665948e-05+0j),0.0,PASS
HS_n4_b1/RESERVED_CONFIRMATION/change_omega,(6.730803850580403e-05+0j),(6.7308038505804e-05+0j),(6.7308038505804e-05+0j),2.710505431213761e-20,PASS
HS_n4_b1/RESERVED_CONFIRMATION/change_g,(0.008432029140779384+0j),(0.00843202914077938+0j),(0.00843202914077938+0j),3.469446951953614e-18,PASS
HS_n4_b1/RESERVED_CONFIRMATION/g_zero,0j,0j,0j,0.0,PASS
HS_n4_b1/RESERVED_CONFIRMATION/joint_parameters,(0.0018033890066655144+0j),(0.0018033890066655157+0j),(0.0018033890066655157+0j),1.3010426069826053e-18,PASS
HS_n4_b1/RESERVED_CONFIRMATION/joint_sample,(7.062190397493596e-05+0j),(7.0621903974936e-05+0j),(7.0621903974936e-05+0j),4.0657581468206416e-20,PASS
HS_n4_b1/RESERVED_CONFIRMATION/repeat_q_then_separate,(0.0002236408763561837+0j),(0.00022364087635618377+0j),(0.00022364087635618377+0j),5.421010862427522e-20,PASS
HS_n4_b1/RESERVED_CONFIRMATION/repeat_dtau_then_separate,(2.9558780165744294e-05+0j),(2.955878016574431e-05+0j),(2.955878016574431e-05+0j),1.6940658945086007e-20,PASS
HS_n4_b1/RESERVED_CONFIRMATION/change_L_analytic,(7.833330872478936e-06+0j),(7.833330872478936e-06+0j),(7.833330872478936e-06+0j),0.0,PASS
HS_n4_b1/RESERVED_CONFIRMATION/small_nonzero_g,(5.025881016718972e-66+0j),(5.02588101671897e-66+0j),(5.02588101671897e-66+0j),2.1084395886461046e-81,PASS
HS_n4_b1/RESERVED_CONFIRMATION/longer_legal_intervals,(2.572665466392377e-05+0j),(2.572665466392377e-05+0j),(2.572665466392377e-05+0j),0.0,PASS
HS_n4_b1/RESERVED_CONFIRMATION/same_input_repeat,(8.451081949449138e-05+0j),(8.451081949449134e-05+0j),(8.451081949449134e-05+0j),4.0657581468206416e-20,PASS
HT_n1_b2/DEV/base,(0.10104575201940723+0j),(0.10104575201940723+0j),(0.10104575201940723+0j),6.776263578034403e-21,PASS
HT_n1_b2/DEV/change_k,(0.10065778177309836+0j),(0.10065778177309836+0j),(0.10065778177309836+0j),6.938893903907228e-18,PASS
HT_n1_b2/DEV/change_q,(0.10065778177309836+0j),(0.10065778177309836+0j),(0.10065778177309836+0j),6.938893903907228e-18,PASS
HT_n1_b2/DEV/change_tau,(0.046763606215366474+0j),(0.04676360621536648+0j),(0.04676360621536648+0j),6.938893903907228e-18,PASS
HT_n1_b2/DEV/change_t,(0.10104575201940723+0j),(0.10104575201940723+0j),(0.10104575201940723+0j),6.776263578034403e-21,PASS
HT_n1_b2/DEV/change_omega,(0.10106518973743864+0j),(0.10106518973743862+0j),(0.10106518973743862+0j),1.3877787807814457e-17,PASS
HT_n1_b2/DEV/change_g,(0.07983861887953164+0j),(0.07983861887953164+0j),(0.07983861887953164+0j),3.3881317890172014e-21,PASS
HT_n1_b2/DEV/g_zero,0j,0j,0j,0.0,PASS
HT_n1_b2/DEV/joint_parameters,(0.24438822369582375+0j),(0.24438822369582378+0j),(0.24438822369582378+0j),2.7755575615628914e-17,PASS
HT_n1_b2/DEV/joint_sample,(0.01261152984813934+0j),(0.01261152984813934+0j),(0.01261152984813934+0j),8.673617379884035e-19,PASS
HT_n1_b2/DEV/repeat_q_then_separate,(0.10065778177309836+0j),(0.10065778177309836+0j),(0.10065778177309836+0j),6.938893903907228e-18,PASS
HT_n1_b2/DEV/repeat_dtau_then_separate,(0.08492458074687873+0j),(0.08492458074687873+0j),(0.08492458074687873+0j),6.938893903907228e-18,PASS
HT_n1_b2/DEV/change_L_analytic,(0.05052287600970361+0j),(0.05052287600970361+0j),(0.05052287600970361+0j),3.469446951953614e-18,PASS
HT_n1_b2/DEV/small_nonzero_g,(4.989913679970728e-17+0j),(4.989913679970728e-17+0j),(4.989913679970728e-17+0j),3.0814879110195774e-33,PASS
HT_n1_b2/DEV/longer_legal_intervals,(0.026577937116529983+0j),(0.02657793711652998+0j),(0.02657793711652998+0j),3.469446951953614e-18,PASS
HT_n1_b2/DEV/same_input_repeat,(0.10104575201940723+0j),(0.10104575201940723+0j),(0.10104575201940723+0j),6.776263578034403e-21,PASS
HT_n1_b2/RESERVED_CONFIRMATION/base,(0.03896743641326752+0j),(0.03896743641326752+0j),(0.03896743641326752+0j),2.168404344971009e-19,PASS
HT_n1_b2/RESERVED_CONFIRMATION/change_k,(0.056951990814666495+0j),(0.056951990814666495+0j),(0.056951990814666495+0j),2.168404344971009e-19,PASS
HT_n1_b2/RESERVED_CONFIRMATION/change_q,(0.08323691667459826+0j),(0.08323691667459826+0j),(0.08323691667459826+0j),6.938893903907228e-18,PASS
HT_n1_b2/RESERVED_CONFIRMATION/change_tau,(0.001987135153907+0j),(0.001987135153907+0j),(0.001987135153907+0j),1.0842021724855044e-19,PASS
HT_n1_b2/RESERVED_CONFIRMATION/change_t,(0.03103255906811459+0j),(0.03103255906811459+0j),(0.03103255906811459+0j),0.0,PASS
HT_n1_b2/RESERVED_CONFIRMATION/change_omega,(0.03971386810496022+0j),(0.03971386810496022+0j),(0.03971386810496022+0j),2.168404344971009e-19,PASS
HT_n1_b2/RESERVED_CONFIRMATION/change_g,(0.030789085561100264+0j),(0.030789085561100264+0j),(0.030789085561100264+0j),1.734723475976807e-18,PASS
HT_n1_b2/RESERVED_CONFIRMATION/g_zero,0j,0j,0j,0.0,PASS
HT_n1_b2/RESERVED_CONFIRMATION/joint_parameters,(0.07438210528664063+0j),(0.07438210528664063+0j),(0.07438210528664063+0j),4.336808689942018e-19,PASS
